202.000.000.000|202.000.009.255|澳大利亚||
202.000.010.000|202.000.010.255|新西兰||
202.000.011.000|202.000.015.255|澳大利亚||
202.000.016.000|202.000.031.255|菲律宾||
202.000.032.000|202.000.063.255|新西兰||
202.000.064.000|202.000.064.255|澳大利亚||
202.000.065.000|202.000.066.255|日本|鬼子|
202.000.067.000|202.000.070.255|澳大利亚||
202.000.071.000|202.000.071.255|新加坡||
202.000.072.000|202.000.073.255|日本|鬼子|
202.000.074.000|202.000.075.255|澳大利亚||
202.000.076.000|202.000.076.255|日本|鬼子|
202.000.077.000|202.000.078.255|香港||
202.000.079.000|202.000.079.255|泰国||
202.000.080.000|202.000.080.255|巴布亚新几内||
202.000.081.000|202.000.081.255|印度尼西亚||
202.000.082.000|202.000.082.255|澳大利亚|墨尔本|
202.000.082.000|202.000.083.255|澳大利亚||
202.000.083.000|202.000.083.255|澳大利亚|East Maitland|
202.000.084.000|202.000.084.255|新西兰||
202.000.085.000|202.000.087.255|澳大利亚||
202.000.088.000|202.000.089.255|新加坡||
202.000.090.000|202.000.092.255|澳大利亚||
202.000.093.000|202.000.093.255|日本|鬼子|
202.000.094.000|202.000.094.255|马来西亚||
202.000.095.000|202.000.096.255|澳大利亚||
202.000.097.000|202.000.097.255|新西兰||
202.000.098.000|202.000.099.255|澳大利亚||
202.000.100.000|202.000.100.255|香港||
202.000.101.000|202.000.102.255|澳大利亚||
202.000.103.000|202.000.103.255|印度尼西亚||
202.000.104.000|202.000.104.255|香港||
202.000.105.000|202.000.109.255|澳大利亚||
202.000.110.000|202.000.110.255|中国|计划设计中心(CPDC)|
202.000.111.000|202.000.111.255|泰国||
202.000.112.000|202.000.112.255|香港||
202.000.113.000|202.000.115.255|澳大利亚||
202.000.116.000|202.000.116.255|印度尼西亚||
202.000.117.000|202.000.120.255|泰国||
202.000.121.000|202.000.121.255|新西兰||
202.000.122.000|202.000.123.255|香港||
202.000.124.000|202.000.125.255|新西兰||
202.000.127.000|202.000.127.255|新加坡||
202.000.128.000|202.000.147.255|香港||
202.000.148.000|202.000.148.255|澳大利亚|North Ryde|
202.000.149.000|202.000.150.255|新加坡||
202.000.151.000|202.000.151.255|新西兰||
202.000.152.000|202.000.152.255|新加坡||
202.000.153.000|202.000.153.255|新西兰||
202.000.154.000|202.000.154.255|澳大利亚||
202.000.156.000|202.000.159.255|新喀里多尼亚||
202.000.160.000|202.000.179.255|香港||
202.000.180.000|202.000.183.255|香港||
202.000.188.000|202.000.191.255|法国||
202.000.192.000|202.000.255.255|美国||
202.001.000.000|202.001.004.255|澳大利亚||
202.001.006.000|202.001.007.255|香港||
202.001.008.000|202.001.015.255|新西兰||
202.001.016.000|202.001.031.255|澳大利亚||
202.001.032.000|202.001.063.255|巴布亚新几内||
202.001.064.000|202.001.159.255|新加坡||
202.001.160.000|202.001.191.255|所罗门群岛||
202.001.192.000|202.001.223.255|马尔代夫||
202.001.224.000|202.001.231.255|澳大利亚||
202.001.240.000|202.001.255.255|巴布亚新几内||
202.002.000.000|202.002.003.255|澳大利亚||
202.002.004.000|202.002.007.255|新西兰||
202.002.008.000|202.002.015.255|新西兰||
202.002.016.000|202.002.031.255|澳大利亚||
202.002.032.000|202.002.051.255|香港||
202.002.052.000|202.002.055.255|台湾||
202.002.064.000|202.002.095.255|香港||
202.002.128.000|202.002.255.255|APNIC||
202.003.000.000|202.003.015.255|澳大利亚||
202.003.016.000|202.003.031.255|新西兰||
202.003.096.000|202.003.127.255|印度尼西亚||
202.003.128.000|202.003.255.255|法属玻利尼西||
202.004.000.000|202.004.015.255|菲律宾||
202.004.016.000|202.004.024.255|新西兰||
202.004.032.000|202.004.063.255|西萨摩亚||
202.004.096.000|202.004.127.255|孟加拉国||
202.004.128.000|202.004.159.255|中国|北京化工大学|
202.004.130.000|202.004.130.255|中国|北京化工大学网络中心|
202.004.139.000|202.004.139.255|中国|北京化工大学图书馆|
202.004.141.000|202.004.141.255|中国|北京化工大学化学工程学院|
202.004.142.000|202.004.142.255|中国|北京化工大学材料工程学院|
202.004.143.000|202.004.143.255|中国|北京化工大学机械工程学院|
202.004.144.000|202.004.144.255|中国|北京化工大学自动化系|
202.004.145.000|202.004.145.255|中国|北京化工大学管理学院|
202.004.146.000|202.004.146.255|中国|北京化工大学应用化学系|
202.004.159.000|202.004.223.255|香港||
202.004.224.000|202.004.255.255|北京|联通实华开公司|
202.004.252.000|202.004.255.255|北京|联通实华开网吧|
202.005.000.000|202.005.031.255|澳大利亚||
